"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2019-06-01","23:00 - 0:00","96","°A"
"DV","2019-06-01","0:00 - 1:00","87","°A"
"DV","2019-06-01","1:00 - 2:00","84","°A"
"DV","2019-06-01","2:00 - 3:00","117","°A"
"DV","2019-06-01","3:00 - 4:00","101","°A"
"DV","2019-06-01","4:00 - 5:00","92","°A"
"DV","2019-06-01","5:00 - 6:00","93","°A"
"DV","2019-06-01","6:00 - 7:00","99","°A"
"DV","2019-06-01","7:00 - 8:00","86","°A"
"DV","2019-06-01","8:00 - 9:00","112","°A"
"DV","2019-06-01","9:00 - 10:00","122","°A"
"DV","2019-06-01","10:00 - 11:00","153","°A"
"DV","2019-06-01","11:00 - 12:00","175","°A"
"DV","2019-06-01","12:00 - 13:00","133","°A"
"DV","2019-06-01","13:00 - 14:00","117","°A"
"DV","2019-06-01","14:00 - 15:00","140","°A"
"DV","2019-06-01","15:00 - 16:00","98","°A"
"DV","2019-06-01","16:00 - 17:00","100","°A"
"DV","2019-06-01","17:00 - 18:00","98","°A"
"DV","2019-06-01","18:00 - 19:00","105","°A"
"DV","2019-06-01","19:00 - 20:00","87","°A"
"DV","2019-06-01","20:00 - 21:00","76","°A"
"DV","2019-06-01","21:00 - 22:00","80","°A"
"DV","2019-06-01","22:00 - 23:00","82","°A"
"DV","2019-06-02","23:00 - 0:00","85","°A"
"DV","2019-06-02","0:00 - 1:00","82","°A"
"DV","2019-06-02","1:00 - 2:00","73","°A"
"DV","2019-06-02","2:00 - 3:00","60","°A"
"DV","2019-06-02","3:00 - 4:00","51","°A"
"DV","2019-06-02","4:00 - 5:00","53","°A"
"DV","2019-06-02","5:00 - 6:00","190","°A"
"DV","2019-06-02","6:00 - 7:00","154","°A"
"DV","2019-06-02","7:00 - 8:00","100","°A"
"DV","2019-06-02","8:00 - 9:00","122","°A"
"DV","2019-06-02","9:00 - 10:00","125","°A"
"DV","2019-06-02","10:00 - 11:00","186","°A"
"DV","2019-06-02","11:00 - 12:00","140","°A"
"DV","2019-06-02","12:00 - 13:00","202","°A"
"DV","2019-06-02","13:00 - 14:00","147","°A"
"DV","2019-06-02","14:00 - 15:00","168","°A"
"DV","2019-06-02","15:00 - 16:00","192","°A"
"DV","2019-06-02","16:00 - 17:00","152","°A"
"DV","2019-06-02","17:00 - 18:00","129","°A"
"DV","2019-06-02","18:00 - 19:00","87","°A"
"DV","2019-06-02","19:00 - 20:00","202","°A"
"DV","2019-06-02","20:00 - 21:00","84","°A"
"DV","2019-06-02","21:00 - 22:00","59","°A"
"DV","2019-06-02","22:00 - 23:00","91","°A"
"DV","2019-06-03","23:00 - 0:00","105","°A"
"DV","2019-06-03","0:00 - 1:00","111","°A"
"DV","2019-06-03","1:00 - 2:00","127","°A"
"DV","2019-06-03","2:00 - 3:00","198","°A"
"DV","2019-06-03","3:00 - 4:00","150","°A"
"DV","2019-06-03","4:00 - 5:00","141","°A"
"DV","2019-06-03","5:00 - 6:00","109","°A"
"DV","2019-06-03","6:00 - 7:00","58","°A"
"DV","2019-06-03","7:00 - 8:00","102","°A"
"DV","2019-06-03","8:00 - 9:00","68","°A"
"DV","2019-06-03","9:00 - 10:00","84","°A"
"DV","2019-06-03","10:00 - 11:00","89","°A"
"DV","2019-06-03","11:00 - 12:00","138","°A"
"DV","2019-06-03","12:00 - 13:00","92","°A"
"DV","2019-06-03","13:00 - 14:00","131","°A"
"DV","2019-06-03","14:00 - 15:00","169","°A"
"DV","2019-06-03","15:00 - 16:00","140","°A"
"DV","2019-06-03","16:00 - 17:00","143","°A"
"DV","2019-06-03","17:00 - 18:00","157","°A"
"DV","2019-06-03","18:00 - 19:00","103","°A"
"DV","2019-06-03","19:00 - 20:00","95","°A"
"DV","2019-06-03","20:00 - 21:00","103","°A"
