"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2018-04-03","11:00 - 12:00","1.728","m/s"
"VV","2018-04-03","12:00 - 13:00","1.950","m/s"
"VV","2018-04-03","13:00 - 14:00","1.924","m/s"
"VV","2018-04-03","14:00 - 15:00","3.685","m/s"
"VV","2018-04-03","15:00 - 16:00","4.056","m/s"
"VV","2018-04-03","16:00 - 17:00","2.502","m/s"
"VV","2018-04-03","17:00 - 18:00","3.563","m/s"
"VV","2018-04-03","18:00 - 19:00","3.584","m/s"
"VV","2018-04-03","19:00 - 20:00","2.914","m/s"
"VV","2018-04-03","20:00 - 21:00","2.562","m/s"
"VV","2018-04-03","21:00 - 22:00","1.734","m/s"
"VV","2018-04-03","22:00 - 23:00","1.800","m/s"
"VV","2018-04-04","23:00 - 0:00","1.693","m/s"
"VV","2018-04-04","0:00 - 1:00","1.290","m/s"
"VV","2018-04-04","1:00 - 2:00","1.429","m/s"
"VV","2018-04-04","2:00 - 3:00","1.577","m/s"
"VV","2018-04-04","3:00 - 4:00","1.677","m/s"
"VV","2018-04-04","4:00 - 5:00","1.313","m/s"
"VV","2018-04-04","5:00 - 6:00","1.247","m/s"
"VV","2018-04-04","6:00 - 7:00","1.531","m/s"
"VV","2018-04-04","7:00 - 8:00","1.819","m/s"
"VV","2018-04-04","8:00 - 9:00","2.245","m/s"
"VV","2018-04-04","9:00 - 10:00","2.212","m/s"
"VV","2018-04-04","10:00 - 11:00","1.312","m/s"
"VV","2018-04-04","11:00 - 12:00","1.031","m/s"
"VV","2018-04-04","12:00 - 13:00","1.405","m/s"
"VV","2018-04-04","13:00 - 14:00","1.425","m/s"
"VV","2018-04-04","14:00 - 15:00","2.114","m/s"
"VV","2018-04-04","15:00 - 16:00","2.228","m/s"
"VV","2018-04-04","16:00 - 17:00","2.002","m/s"
"VV","2018-04-04","17:00 - 18:00","1.644","m/s"
"VV","2018-04-04","18:00 - 19:00","2.102","m/s"
"VV","2018-04-04","19:00 - 20:00","1.253","m/s"
"VV","2018-04-04","20:00 - 21:00","1.348","m/s"
"VV","2018-04-04","21:00 - 22:00","1.936","m/s"
"VV","2018-04-04","22:00 - 23:00","1.668","m/s"
"VV","2018-04-05","23:00 - 0:00","1.428","m/s"
"VV","2018-04-05","0:00 - 1:00","1.029","m/s"
"VV","2018-04-05","1:00 - 2:00","1.437","m/s"
"VV","2018-04-05","2:00 - 3:00","1.271","m/s"
"VV","2018-04-05","3:00 - 4:00","1.288","m/s"
"VV","2018-04-05","4:00 - 5:00","1.758","m/s"
"VV","2018-04-05","5:00 - 6:00","1.993","m/s"
"VV","2018-04-05","6:00 - 7:00","1.677","m/s"
"VV","2018-04-05","7:00 - 8:00","2.479","m/s"
"VV","2018-04-05","8:00 - 9:00","2.222","m/s"
"VV","2018-04-05","9:00 - 10:00","1.242","m/s"
"VV","2018-04-05","10:00 - 11:00","1.137","m/s"
"VV","2018-04-05","11:00 - 12:00","1.031","m/s"
"VV","2018-04-05","12:00 - 13:00","1.789","m/s"
"VV","2018-04-05","13:00 - 14:00","1.816","m/s"
"VV","2018-04-05","14:00 - 15:00","1.862","m/s"
"VV","2018-04-05","15:00 - 16:00","2.490","m/s"
"VV","2018-04-05","16:00 - 17:00","3.417","m/s"
"VV","2018-04-05","17:00 - 18:00","3.258","m/s"
"VV","2018-04-05","18:00 - 19:00","2.424","m/s"
"VV","2018-04-05","19:00 - 20:00","2.752","m/s"
"VV","2018-04-05","20:00 - 21:00","3.101","m/s"
"VV","2018-04-05","21:00 - 22:00","1.818","m/s"
"VV","2018-04-05","22:00 - 23:00","1.367","m/s"
"VV","2018-04-06","23:00 - 0:00","0.973","m/s"
"VV","2018-04-06","0:00 - 1:00","0.663","m/s"
"VV","2018-04-06","1:00 - 2:00","2.285","m/s"
"VV","2018-04-06","2:00 - 3:00","1.633","m/s"
"VV","2018-04-06","3:00 - 4:00","2.108","m/s"
"VV","2018-04-06","4:00 - 5:00","0.752","m/s"
"VV","2018-04-06","5:00 - 6:00","0.773","m/s"
"VV","2018-04-06","6:00 - 7:00","0.648","m/s"
"VV","2018-04-06","7:00 - 8:00","1.063","m/s"
"VV","2018-04-06","8:00 - 9:00","0.503","m/s"
"VV","2018-04-06","9:00 - 10:00","1.123","m/s"
"VV","2018-04-06","10:00 - 11:00","3.707","m/s"
"VV","2018-04-06","11:00 - 12:00","3.135","m/s"
"VV","2018-04-06","12:00 - 13:00","3.034","m/s"
"VV","2018-04-06","13:00 - 14:00","2.482","m/s"
"VV","2018-04-06","14:00 - 15:00","3.615","m/s"
"VV","2018-04-06","15:00 - 16:00","3.323","m/s"
"VV","2018-04-06","16:00 - 17:00","3.833","m/s"
"VV","2018-04-06","17:00 - 18:00","3.380","m/s"
"VV","2018-04-06","18:00 - 19:00","3.531","m/s"
"VV","2018-04-06","19:00 - 20:00","2.890","m/s"
"VV","2018-04-06","20:00 - 21:00","3.047","m/s"
"VV","2018-04-06","21:00 - 22:00","2.312","m/s"
"VV","2018-04-06","22:00 - 23:00","1.758","m/s"
"VV","2018-04-07","23:00 - 0:00","2.575","m/s"
"VV","2018-04-07","0:00 - 1:00","2.599","m/s"
"VV","2018-04-07","1:00 - 2:00","2.412","m/s"
"VV","2018-04-07","2:00 - 3:00","2.158","m/s"
"VV","2018-04-07","3:00 - 4:00","2.131","m/s"
"VV","2018-04-07","4:00 - 5:00","2.033","m/s"
"VV","2018-04-07","5:00 - 6:00","1.253","m/s"
"VV","2018-04-07","6:00 - 7:00","1.489","m/s"
"VV","2018-04-07","7:00 - 8:00","1.174","m/s"
"VV","2018-04-07","8:00 - 9:00","1.753","m/s"
"VV","2018-04-07","9:00 - 10:00","1.547","m/s"
"VV","2018-04-07","10:00 - 11:00","1.908","m/s"
"VV","2018-04-07","11:00 - 12:00","2.211","m/s"
"VV","2018-04-07","12:00 - 13:00","2.416","m/s"
"VV","2018-04-07","13:00 - 14:00","1.894","m/s"
"VV","2018-04-07","14:00 - 15:00","1.618","m/s"
"VV","2018-04-07","15:00 - 16:00","1.524","m/s"
"VV","2018-04-07","16:00 - 17:00","1.810","m/s"
"VV","2018-04-07","17:00 - 18:00","1.603","m/s"
"VV","2018-04-07","18:00 - 19:00","2.450","m/s"
"VV","2018-04-07","19:00 - 20:00","2.598","m/s"
"VV","2018-04-07","20:00 - 21:00","2.440","m/s"
"VV","2018-04-07","21:00 - 22:00","1.171","m/s"
"VV","2018-04-07","22:00 - 23:00","0.433","m/s"
