"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2018-09-01","23:00 - 0:00","2.713","m/s"
"VV","2018-09-02","23:00 - 0:00","1.557","m/s"
"VV","2018-09-02","0:00 - 1:00","2.077","m/s"
"VV","2018-09-02","1:00 - 2:00","3.044","m/s"
"VV","2018-09-02","2:00 - 3:00","3.076","m/s"
"VV","2018-09-02","3:00 - 4:00","1.972","m/s"
"VV","2018-09-02","4:00 - 5:00","1.731","m/s"
"VV","2018-09-02","5:00 - 6:00","1.707","m/s"
"VV","2018-09-02","6:00 - 7:00","1.064","m/s"
"VV","2018-09-02","7:00 - 8:00","0.339","m/s"
"VV","2018-09-02","8:00 - 9:00","0.606","m/s"
"VV","2018-09-02","9:00 - 10:00","0.610","m/s"
"VV","2018-09-02","10:00 - 11:00","0.819","m/s"
"VV","2018-09-02","11:00 - 12:00","1.128","m/s"
"VV","2018-09-02","12:00 - 13:00","1.418","m/s"
"VV","2018-09-02","13:00 - 14:00","1.228","m/s"
"VV","2018-09-02","14:00 - 15:00","1.267","m/s"
"VV","2018-09-02","15:00 - 16:00","2.818","m/s"
"VV","2018-09-02","16:00 - 17:00","2.005","m/s"
"VV","2018-09-02","17:00 - 18:00","1.869","m/s"
"VV","2018-09-02","18:00 - 19:00","1.826","m/s"
"VV","2018-09-02","19:00 - 20:00","1.074","m/s"
"VV","2018-09-02","20:00 - 21:00","2.267","m/s"
"VV","2018-09-02","21:00 - 22:00","1.548","m/s"
"VV","2018-09-02","22:00 - 23:00","1.361","m/s"
"VV","2018-09-03","23:00 - 0:00","1.551","m/s"
"VV","2018-09-03","0:00 - 1:00","1.429","m/s"
"VV","2018-09-03","1:00 - 2:00","0.804","m/s"
"VV","2018-09-03","2:00 - 3:00","1.177","m/s"
"VV","2018-09-03","3:00 - 4:00","0.822","m/s"
"VV","2018-09-03","4:00 - 5:00","1.172","m/s"
"VV","2018-09-03","5:00 - 6:00","1.021","m/s"
"VV","2018-09-03","6:00 - 7:00","0.746","m/s"
"VV","2018-09-03","7:00 - 8:00","1.906","m/s"
"VV","2018-09-03","8:00 - 9:00","0.979","m/s"
"VV","2018-09-03","9:00 - 10:00","0.776","m/s"
"VV","2018-09-03","10:00 - 11:00","0.831","m/s"
"VV","2018-09-03","11:00 - 12:00","1.028","m/s"
"VV","2018-09-03","12:00 - 13:00","1.317","m/s"
"VV","2018-09-03","13:00 - 14:00","1.616","m/s"
"VV","2018-09-03","14:00 - 15:00","2.408","m/s"
"VV","2018-09-03","15:00 - 16:00","2.566","m/s"
"VV","2018-09-03","16:00 - 17:00","2.247","m/s"
"VV","2018-09-03","17:00 - 18:00","1.461","m/s"
"VV","2018-09-03","18:00 - 19:00","1.690","m/s"
"VV","2018-09-03","19:00 - 20:00","1.858","m/s"
"VV","2018-09-03","20:00 - 21:00","1.527","m/s"
"VV","2018-09-03","21:00 - 22:00","0.960","m/s"
"VV","2018-09-03","22:00 - 23:00","1.215","m/s"
"VV","2018-09-04","23:00 - 0:00","1.026","m/s"
"VV","2018-09-04","0:00 - 1:00","1.029","m/s"
"VV","2018-09-04","1:00 - 2:00","0.850","m/s"
"VV","2018-09-04","2:00 - 3:00","0.731","m/s"
"VV","2018-09-04","3:00 - 4:00","0.791","m/s"
"VV","2018-09-04","4:00 - 5:00","0.871","m/s"
"VV","2018-09-04","5:00 - 6:00","1.077","m/s"
"VV","2018-09-04","6:00 - 7:00","0.786","m/s"
"VV","2018-09-04","7:00 - 8:00","1.258","m/s"
"VV","2018-09-04","8:00 - 9:00","1.301","m/s"
"VV","2018-09-04","9:00 - 10:00","1.399","m/s"
"VV","2018-09-04","10:00 - 11:00","1.041","m/s"
"VV","2018-09-04","11:00 - 12:00","1.291","m/s"
"VV","2018-09-04","12:00 - 13:00","1.012","m/s"
"VV","2018-09-04","13:00 - 14:00","1.442","m/s"
"VV","2018-09-04","14:00 - 15:00","1.327","m/s"
"VV","2018-09-04","15:00 - 16:00","1.331","m/s"
"VV","2018-09-04","16:00 - 17:00","1.706","m/s"
"VV","2018-09-04","17:00 - 18:00","1.301","m/s"
"VV","2018-09-04","18:00 - 19:00","1.255","m/s"
"VV","2018-09-04","19:00 - 20:00","1.375","m/s"
"VV","2018-09-04","20:00 - 21:00","2.591","m/s"
"VV","2018-09-04","21:00 - 22:00","1.216","m/s"
"VV","2018-09-04","22:00 - 23:00","2.383","m/s"
"VV","2018-09-05","23:00 - 0:00","1.338","m/s"
"VV","2018-09-05","0:00 - 1:00","0.910","m/s"
"VV","2018-09-05","1:00 - 2:00","1.200","m/s"
"VV","2018-09-05","2:00 - 3:00","0.346","m/s"
"VV","2018-09-05","3:00 - 4:00","0.997","m/s"
"VV","2018-09-05","4:00 - 5:00","0.890","m/s"
"VV","2018-09-05","5:00 - 6:00","1.559","m/s"
"VV","2018-09-05","6:00 - 7:00","1.023","m/s"
"VV","2018-09-05","7:00 - 8:00","1.171","m/s"
"VV","2018-09-05","8:00 - 9:00","1.329","m/s"
"VV","2018-09-05","9:00 - 10:00","2.034","m/s"
"VV","2018-09-05","10:00 - 11:00","1.760","m/s"
"VV","2018-09-05","11:00 - 12:00","1.157","m/s"
"VV","2018-09-05","12:00 - 13:00","1.545","m/s"
"VV","2018-09-05","13:00 - 14:00","1.521","m/s"
"VV","2018-09-05","14:00 - 15:00","1.671","m/s"
"VV","2018-09-05","15:00 - 16:00","1.817","m/s"
"VV","2018-09-05","16:00 - 17:00","1.780","m/s"
"VV","2018-09-05","17:00 - 18:00","1.687","m/s"
"VV","2018-09-05","18:00 - 19:00","1.106","m/s"
"VV","2018-09-05","19:00 - 20:00","0.749","m/s"
"VV","2018-09-05","20:00 - 21:00","1.112","m/s"
"VV","2018-09-05","21:00 - 22:00","1.401","m/s"
"VV","2018-09-05","22:00 - 23:00","2.910","m/s"
"VV","2018-09-06","23:00 - 0:00","2.994","m/s"
