WeekD,Hora,DV,HR,PM25,PP,TMP,VV,YearD,PM25_t
1,1,260,42,5,0.0,23.991,1.024,169,8.0
1,2,273,36,9,0.0,25.944,1.23,169,5.0
1,3,190,31,8,0.0,27.757,1.277,169,9.0
1,4,149,28,8,0.0,29.307,1.341,169,8.0
1,5,204,24,9,0.0,30.587,1.669,169,8.0
1,6,220,21,10,0.0,31.213,2.031,169,9.0
1,7,266,20,9,0.0,31.896,1.986,169,10.0
1,8,96,37,10,0.0,27.004,4.653,169,9.0
1,9,119,38,16,0.0,26.02,3.31,169,10.0
1,10,215,60,13,0.04,22.215,1.806,169,16.0
1,11,254,64,11,0.04,21.219,1.738,169,13.0
1,12,255,65,8,0.04,20.926,1.509,169,11.0
1,13,247,64,8,0.0,20.683,0.963,169,8.0
1,14,113,60,13,0.0,21.59,0.694,169,8.0
1,15,54,64,10,0.0,21.412,1.267,169,13.0
1,16,69,64,15,0.0,21.004,1.315,169,10.0
1,17,130,66,11,0.0,20.646,1.853,169,15.0
1,18,106,67,11,0.0,20.134,2.571,169,11.0
1,19,146,66,15,0.0,20.091,2.375,169,11.0
1,20,84,66,18,0.0,20.325,1.903,169,15.0
1,21,53,66,18,0.0,20.254,1.397,169,18.0
1,22,55,68,22,0.0,19.961,1.726,169,18.0
2,23,124,63,23,0.0,21.689,0.983,170,22.0
2,0,129,55,28,0.0,22.941,1.227,170,23.0
2,1,200,49,27,0.0,24.144,1.299,170,28.0
2,2,207,47,20,0.0,24.937,1.669,170,27.0
2,3,203,42,22,0.0,25.981,1.389,170,20.0
2,4,207,38,25,0.0,27.403,1.165,170,22.0
2,5,192,33,14,0.0,28.914,1.513,170,25.0
2,6,194,29,19,0.0,29.739,1.786,170,14.0
2,7,184,25,18,0.0,30.568,1.607,170,19.0
2,8,143,22,13,0.0,31.341,1.466,170,18.0
2,9,137,21,18,0.0,31.519,1.296,170,13.0
2,10,194,23,6,0.0,30.671,1.47,170,18.0
2,11,236,27,11,0.0,29.677,1.152,170,6.0
2,12,99,32,14,0.0,27.155,3.469,170,11.0
2,13,88,34,10,0.0,26.231,3.202,170,14.0
2,14,134,58,12,0.6,22.286,3.512,170,10.0
2,15,152,63,8,0.0,20.981,2.12,170,12.0
2,16,150,65,8,0.08,20.756,1.302,170,8.0
2,17,169,73,16,0.06,19.986,1.758,170,8.0
2,18,180,79,15,0.18,18.754,2.45,170,16.0
2,19,229,87,11,0.34,17.76,0.972,170,15.0
2,20,294,91,7,0.18,17.532,1.419,170,11.0
2,21,138,85,6,0.02,17.952,1.593,170,7.0
2,22,80,86,10,0.0,18.514,2.241,170,6.0
3,23,174,78,13,0.0,19.453,1.668,171,10.0
3,0,216,72,10,0.0,20.615,0.991,171,13.0
3,1,211,67,14,0.0,21.708,1.475,171,10.0
3,2,221,58,18,0.0,22.897,1.224,171,14.0
3,3,176,50,8,0.0,23.853,1.602,171,18.0
3,4,173,44,6,0.0,25.564,1.765,171,8.0
3,5,178,39,7,0.0,26.864,1.606,171,6.0
3,6,168,37,7,0.0,27.422,2.288,171,7.0
3,7,170,37,11,0.0,27.178,2.068,171,7.0
3,8,214,42,17,0.0,27.181,2.038,171,11.0
3,9,221,40,17,0.0,27.635,1.867,171,17.0
3,10,214,40,13,0.0,26.525,1.675,171,17.0
3,11,212,46,9,0.0,25.568,1.941,171,13.0
3,12,217,54,6,0.0,24.606,1.415,171,9.0
3,13,242,56,10,0.0,24.009,1.156,171,6.0
3,14,259,55,11,0.0,23.935,1.885,171,10.0
3,15,270,58,7,0.0,23.561,1.612,171,11.0
3,16,237,58,8,0.0,21.958,4.122,171,7.0
3,17,53,63,4,0.0,19.978,4.23,171,8.0
3,18,44,65,5,0.0,19.713,3.002,171,4.0
3,19,100,66,5,0.0,19.725,2.394,171,5.0
3,20,246,69,7,0.0,19.071,2.665,171,5.0
3,21,151,69,6,0.0,18.749,2.426,171,7.0
3,22,94,71,6,0.0,18.666,2.47,171,6.0
4,23,89,67,10,0.0,19.498,2.724,172,6.0
4,0,106,67,10,0.0,20.412,2.557,172,10.0
4,1,93,62,15,0.0,21.947,1.36,172,10.0
4,2,133,50,11,0.0,24.268,1.205,172,15.0
4,3,136,53,8,0.0,23.534,1.028,172,11.0
4,4,272,70,12,0.0,20.726,0.918,172,8.0
4,7,262,71,16,0.0,20.208,1.07,172,14.0
4,8,169,65,18,0.0,21.06,2.398,172,16.0
4,9,179,64,14,0.0,22.059,2.649,172,18.0
4,10,192,60,17,0.0,23.766,2.341,172,14.0
4,11,209,51,23,0.0,25.811,1.957,172,17.0
4,12,209,42,18,0.0,27.762,1.968,172,23.0
4,13,218,34,15,0.0,29.583,2.049,172,18.0
4,14,210,34,14,0.0,29.959,2.171,172,15.0
4,15,228,39,15,0.0,28.685,1.659,172,14.0
4,16,199,36,16,0.0,29.15,2.338,172,15.0
4,17,228,31,13,0.0,30.3,3.069,172,16.0
4,18,257,33,12,0.0,30.012,2.357,172,13.0
4,19,202,38,16,0.0,28.206,4.112,172,12.0
4,20,234,51,21,0.06,24.643,2.737,172,16.0
4,21,161,76,19,2.76,19.764,2.765,172,21.0
4,22,108,81,9,0.12,19.277,2.876,172,19.0
5,23,113,79,12,0.0,19.089,2.723,173,9.0
5,0,138,75,10,0.0,19.299,2.331,173,12.0
5,1,199,75,7,0.0,19.572,0.795,173,10.0
5,2,195,72,9,0.0,19.524,0.584,173,7.0
5,3,176,72,10,0.0,19.677,0.957,173,9.0
5,4,177,74,14,0.0,19.312,1.427,173,10.0
5,5,176,76,10,0.0,19.039,1.105,173,14.0
5,6,133,77,11,0.0,18.918,1.117,173,10.0
5,7,151,77,15,0.0,18.907,1.214,173,11.0
5,8,139,74,19,0.0,19.494,1.552,173,15.0
5,9,175,71,21,0.0,20.512,1.332,173,19.0
5,10,173,62,30,0.0,22.424,1.479,173,21.0
5,11,169,53,23,0.0,24.129,1.802,173,30.0
5,12,175,42,24,0.0,26.184,1.937,173,23.0
5,13,168,35,22,0.0,27.699,2.321,173,24.0
5,14,160,32,17,0.0,28.672,2.152,173,22.0
5,15,211,29,16,0.0,29.879,1.757,173,17.0
5,16,197,27,19,0.0,31.048,1.209,173,16.0
5,17,188,24,15,0.0,31.228,1.446,173,19.0
5,18,247,20,10,0.0,32.063,1.725,173,15.0
5,19,251,18,8,0.0,31.414,1.718,173,10.0
5,20,218,23,8,0.0,29.788,2.299,173,8.0
5,21,105,42,11,0.0,25.787,3.195,173,8.0
5,22,109,44,13,0.0,24.812,2.129,173,11.0
6,23,163,43,17,0.0,24.532,0.951,174,13.0
6,0,182,46,14,0.0,23.954,0.934,174,17.0
6,1,165,55,9,0.0,22.855,2.295,174,14.0
6,2,147,69,12,0.0,20.969,2.371,174,9.0
6,3,131,70,19,0.0,20.4,1.607,174,12.0
6,4,122,72,18,0.0,20.055,1.375,174,19.0
6,5,125,72,19,0.0,19.736,1.319,174,18.0
6,6,141,69,12,0.0,19.707,0.989,174,19.0
6,7,212,69,21,0.0,19.53,0.546,174,12.0
6,8,128,65,22,0.0,20.389,1.169,174,21.0
6,9,149,52,17,0.0,21.775,1.317,174,22.0
6,10,152,45,21,0.0,23.103,1.747,174,17.0
6,11,198,39,19,0.0,24.794,1.764,174,21.0
6,12,176,35,16,0.0,26.287,2.042,174,19.0
6,13,180,34,20,0.0,27.931,1.994,174,16.0
6,14,197,29,23,0.0,29.358,1.733,174,20.0
6,15,240,24,18,0.0,30.835,1.785,174,23.0
6,16,185,22,25,0.0,31.557,1.88,174,18.0
6,17,236,22,21,0.0,32.25,1.755,174,25.0
6,18,254,21,20,0.0,32.349,1.313,174,21.0
6,19,167,24,12,0.0,31.319,2.31,174,20.0
6,20,82,34,16,0.0,28.543,3.685,174,12.0
6,21,92,35,15,0.0,27.166,2.53,174,16.0
6,22,140,38,9,0.0,26.495,1.813,174,15.0
0,23,156,43,12,0.0,25.569,2.583,175,9.0
0,0,161,45,10,0.0,25.074,3.014,175,12.0
0,1,176,51,15,0.0,24.06,1.185,175,10.0
0,2,167,56,13,0.0,23.242,1.952,175,15.0
0,3,161,59,14,0.0,22.53,1.66,175,13.0
0,4,166,61,15,0.0,21.899,2.219,175,14.0
0,5,157,62,18,0.0,20.957,2.806,175,15.0
0,6,173,58,16,0.0,20.385,1.756,175,18.0
0,7,240,60,25,0.0,19.318,1.168,175,16.0
0,8,219,53,17,0.0,20.186,1.284,175,25.0
0,9,187,44,15,0.0,21.455,2.4,175,17.0
0,10,181,36,21,0.0,23.064,2.918,175,15.0
0,11,194,30,22,0.0,25.114,2.516,175,21.0
0,12,172,25,17,0.0,26.38,2.93,175,22.0
0,13,179,22,19,0.0,27.768,2.393,175,17.0
0,14,169,22,19,0.0,29.389,1.836,175,19.0
0,15,173,21,18,0.0,30.459,1.573,175,19.0
0,16,207,20,20,0.0,31.356,1.275,175,18.0
0,17,185,19,20,0.0,31.812,1.665,175,20.0
0,18,200,19,22,0.0,31.961,1.544,175,20.0
0,19,186,20,19,0.0,31.011,1.212,175,22.0
0,20,172,21,22,0.0,30.602,1.891,175,19.0
0,21,115,41,20,0.02,26.114,4.742,175,22.0
0,22,140,59,24,0.0,23.389,4.1,175,20.0
1,23,205,55,24,0.0,23.534,1.305,176,24.0
1,0,206,56,15,0.0,22.852,1.915,176,24.0
1,1,104,58,12,0.0,22.254,1.347,176,15.0
1,2,170,60,16,0.0,22.208,2.518,176,12.0
1,3,162,66,16,0.0,21.131,2.103,176,16.0
1,4,149,68,18,0.0,20.337,2.132,176,16.0
1,5,152,71,16,0.0,19.792,2.402,176,18.0
1,6,171,73,25,0.0,19.492,1.892,176,16.0
1,7,201,74,23,0.0,19.26,1.052,176,25.0
1,8,193,69,22,0.0,19.683,1.671,176,23.0
1,9,189,63,22,0.0,20.737,2.35,176,22.0
1,10,175,56,16,0.0,22.084,2.673,176,22.0
1,11,170,46,15,0.0,23.726,2.743,176,16.0
1,12,169,42,22,0.0,25.073,2.024,176,15.0
1,13,172,38,14,0.0,26.438,1.829,176,22.0
1,14,192,34,22,0.0,28.154,1.52,176,14.0
1,15,156,32,17,0.0,29.063,1.383,176,22.0
1,16,160,30,15,0.0,29.614,1.977,176,17.0
1,17,124,29,14,0.0,30.053,1.47,176,15.0
1,18,135,28,10,0.0,30.007,2.524,176,14.0
1,19,147,40,15,0.24,27.536,2.991,176,10.0
1,20,148,45,16,0.0,26.216,3.177,176,15.0
1,21,234,58,14,0.0,23.867,2.262,176,16.0
1,22,265,58,24,0.0,21.666,2.336,176,14.0
2,23,189,56,4,0.0,21.944,1.451,177,24.0
2,0,183,63,6,0.0,20.814,2.004,177,4.0
2,1,151,67,10,0.0,20.292,1.173,177,6.0
2,2,181,65,11,0.0,20.389,0.937,177,10.0
2,3,147,65,16,0.0,20.321,0.952,177,11.0
2,4,265,75,11,0.0,18.83,0.929,177,16.0
2,5,257,78,11,0.0,18.426,0.571,177,11.0
2,6,261,76,15,0.0,18.541,0.737,177,11.0
2,7,164,71,13,0.0,19.331,0.786,177,15.0
2,8,131,65,17,0.0,20.76,0.985,177,13.0
2,9,131,62,22,0.0,22.193,1.09,177,17.0
2,10,120,56,21,0.0,23.762,1.219,177,22.0
2,11,130,49,15,0.0,25.237,1.372,177,21.0
2,12,151,41,11,0.0,26.591,1.834,177,15.0
2,13,112,37,8,0.0,27.225,2.751,177,11.0
2,14,121,34,10,0.0,27.105,3.71,177,8.0
2,15,94,38,14,0.0,25.853,2.97,177,10.0
2,16,93,36,10,0.0,26.108,3.201,177,14.0
2,17,98,33,12,0.0,27.574,2.14,177,10.0
2,18,116,39,7,0.0,27.211,3.882,177,12.0
2,19,116,44,5,0.0,25.874,3.367,177,7.0
2,20,100,45,6,0.0,25.659,2.5,177,5.0
2,21,123,45,12,0.0,24.76,2.085,177,6.0
2,22,128,48,12,0.0,24.003,1.663,177,12.0
3,23,118,53,9,0.0,23.005,1.704,178,12.0
3,0,125,57,11,0.0,21.983,2.708,178,9.0
3,1,108,62,11,0.0,21.183,2.138,178,11.0
3,2,83,63,8,0.0,20.47,1.672,178,11.0
3,3,72,61,10,0.0,20.066,1.655,178,8.0
3,4,59,67,11,0.0,19.122,2.209,178,10.0
3,5,57,70,14,0.0,18.465,2.623,178,11.0
3,6,39,70,14,0.0,18.415,2.622,178,14.0
3,7,112,70,15,0.0,18.396,2.716,178,14.0
3,8,67,70,25,0.0,18.622,2.934,178,15.0
3,9,73,53,16,0.0,20.862,2.093,178,25.0
3,10,82,37,9,0.0,22.841,2.74,178,16.0
3,11,92,38,17,0.0,24.003,2.545,178,9.0
3,12,106,35,18,0.0,25.125,2.41,178,17.0
3,13,99,33,19,0.0,26.267,2.632,178,18.0
3,14,106,28,10,0.0,27.326,2.75,178,19.0
3,15,107,24,12,0.0,28.163,3.172,178,10.0
3,16,103,23,8,0.0,28.699,3.071,178,12.0
3,17,92,22,8,0.0,28.734,3.365,178,8.0
3,18,93,22,7,0.0,28.416,3.262,178,8.0
3,19,95,25,8,0.0,27.349,3.55,178,7.0
3,20,77,28,15,0.0,25.931,3.619,178,8.0
3,21,79,31,11,0.0,24.285,3.576,178,15.0
3,22,82,37,14,0.0,22.642,4.219,178,11.0
4,23,73,40,13,0.0,21.378,2.992,179,14.0
4,0,88,40,10,0.0,20.649,2.428,179,13.0
4,1,81,42,10,0.0,19.862,2.226,179,10.0
4,2,86,47,9,0.0,19.236,2.235,179,10.0
4,3,184,49,12,0.0,18.518,1.916,179,9.0
4,4,105,54,11,0.0,17.695,2.079,179,12.0
4,5,36,60,14,0.0,17.357,2.324,179,11.0
4,6,43,65,16,0.0,16.863,2.488,179,14.0
4,7,38,67,14,0.0,16.838,2.472,179,16.0
4,8,57,62,22,0.0,18.11,2.417,179,14.0
4,9,77,54,20,0.0,19.966,2.151,179,22.0
4,10,80,43,14,0.0,21.979,2.256,179,20.0
4,11,87,42,10,0.0,22.915,2.3,179,14.0
4,12,120,38,6,0.0,24.162,1.899,179,10.0
4,13,121,36,10,0.0,24.881,2.369,179,6.0
4,14,102,32,8,0.0,26.151,2.474,179,10.0
4,15,89,28,10,0.0,27.292,2.722,179,8.0
4,16,90,25,10,0.0,28.012,3.105,179,10.0
4,17,86,26,6,0.0,27.419,3.178,179,10.0
4,18,82,26,7,0.0,27.483,3.181,179,6.0
4,19,81,27,9,0.0,26.884,3.327,179,7.0
4,20,76,33,13,0.0,25.245,3.588,179,9.0
4,21,74,37,11,0.0,23.552,3.052,179,13.0
4,22,87,38,8,0.0,22.469,3.248,179,11.0
5,23,77,40,9,0.0,21.441,2.187,180,8.0
5,0,75,40,6,0.0,20.683,1.871,180,9.0
5,1,71,48,6,0.0,19.765,2.169,180,6.0
5,2,78,54,8,0.0,18.801,2.315,180,6.0
5,3,81,59,8,0.0,17.76,2.06,180,8.0
5,4,90,62,10,0.0,17.195,2.148,180,8.0
5,5,68,65,8,0.0,16.709,1.793,180,10.0
5,6,68,67,8,0.0,16.266,1.562,180,8.0
5,7,91,67,9,0.0,16.31,1.48,180,8.0
5,8,80,59,8,0.0,17.989,1.168,180,9.0
5,9,81,53,10,0.0,19.249,1.916,180,8.0
5,10,101,48,10,0.0,20.622,1.521,180,10.0
5,11,121,43,7,0.0,22.092,1.373,180,10.0
5,12,148,37,6,0.0,24.074,1.352,180,7.0
5,13,147,32,7,0.0,25.314,1.59,180,6.0
5,14,148,29,9,0.0,26.451,1.681,180,7.0
5,15,140,25,5,0.0,27.299,2.025,180,9.0
5,16,76,21,2,0.0,28.78,2.514,180,5.0
5,20,91,30,4,0.0,25.935,3.478,180,2.0
5,21,92,33,7,0.0,24.507,3.421,180,4.0
5,22,92,36,5,0.0,23.327,3.584,180,7.0
6,23,84,40,4,0.0,21.924,2.418,181,5.0
6,0,79,41,7,0.0,20.97,1.289,181,4.0
6,1,57,44,7,0.0,20.271,1.896,181,7.0
6,2,68,47,5,0.0,19.429,2.14,181,7.0
6,3,80,56,11,0.0,18.361,2.193,181,5.0
6,4,64,57,10,0.0,18.128,1.09,181,11.0
6,5,67,56,11,0.0,18.119,1.337,181,10.0
6,6,104,61,11,0.0,17.325,1.878,181,11.0
6,7,65,63,9,0.0,16.936,1.427,181,11.0
6,8,125,59,8,0.0,17.503,1.689,181,9.0
6,9,118,53,9,0.0,18.933,1.002,181,8.0
6,10,135,44,11,0.0,21.008,1.121,181,9.0
6,11,119,38,14,0.0,22.559,1.172,181,11.0
6,12,171,33,9,0.0,24.015,1.25,181,14.0
6,13,123,32,6,0.0,24.641,1.431,181,9.0
6,14,131,26,4,0.0,25.914,1.837,181,6.0
6,15,139,25,5,0.0,26.387,1.973,181,4.0
6,16,152,23,5,0.0,27.178,1.333,181,5.0
6,17,160,28,5,0.6,26.377,2.798,181,5.0
6,18,90,42,5,0.1,21.584,4.619,181,5.0
6,19,182,32,9,0.0,23.454,2.602,181,5.0
6,20,168,34,7,0.0,23.007,0.777,181,9.0
6,21,244,37,7,0.0,22.422,1.986,181,7.0
6,22,187,54,12,0.0,19.717,2.6,181,7.0
0,23,178,61,9,0.0,18.399,2.185,182,12.0
0,0,160,61,6,0.0,17.982,1.721,182,9.0
0,17,107,64,3,0.0,17.612,0.944,182,2.0
0,18,231,63,6,0.0,17.55,0.639,182,3.0
0,19,276,66,8,0.0,16.932,0.722,182,6.0
0,20,234,67,8,0.0,16.624,0.79,182,8.0
0,21,68,71,8,0.0,16.431,0.765,182,8.0
0,22,99,70,11,0.0,16.775,0.425,182,8.0
