Time,WeekD,YearD,TMP,WS,WD,RH,PP,PM2.5(t-1),PM2.5(t)
0.0,0.0,0.0,0.4757199986557784,0.27623249568386726,0.23859649122807017,0.375,0.0,0.3493975903614458,62
0.043478260869565216,0.0,0.0,0.45061666162583586,0.4141569154037983,0.624561403508772,0.4090909090909091,0.0,0.7349397590361446,45
0.08695652173913043,0.0,0.0,0.4265214907416742,0.4222136965279111,0.22105263157894736,0.4431818181818182,0.0,0.5301204819277109,38
0.13043478260869565,0.0,0.0,0.41727996773868337,0.3462497602148476,0.12982456140350876,0.45454545454545453,0.0,0.4457831325301205,16
0.17391304347826086,0.0,0.0,0.3935544577746412,0.40475733742566666,0.38596491228070173,0.5,0.0,0.18072289156626506,32
0.21739130434782608,0.0,0.0,0.3648553281580804,0.46901975829656634,0.4070175438596491,0.5,0.0,0.37349397590361444,27
0.2608695652173913,0.0,0.0,0.3626709681755554,0.12794935737579133,0.37894736842105264,0.48863636363636365,0.0,0.3132530120481928,16
0.30434782608695654,0.0,0.0,0.3108176227442282,0.4333397276040668,0.2596491228070175,0.6704545454545454,0.0,0.18072289156626506,14
0.34782608695652173,0.0,0.0,0.2935107705749907,0.22520621523115295,0.47368421052631576,0.6931818181818182,0.0,0.1566265060240964,18
0.391304347826087,0.0,0.0,0.2987868400712437,0.3483598695568771,0.6035087719298246,0.6590909090909091,0.0,0.20481927710843373,15
0.43478260869565216,0.0,0.0,0.3664683939913298,0.1897180126606561,0.7263157894736842,0.5681818181818182,0.0,0.1686746987951807,14
0.4782608695652174,0.0,0.0,0.4335450482239473,0.1711106848263956,0.8070175438596491,0.48863636363636365,0.0,0.1566265060240964,12
0.5217391304347826,0.0,0.0,0.5090566925429311,0.17859198158450032,0.5473684210526316,0.38636363636363635,0.0,0.13253012048192772,8
0.5652173913043478,0.0,0.0,0.559162549988238,0.2418952618453866,0.7228070175438597,0.32954545454545453,0.0,0.08433734939759036,13
0.6086956521739131,0.0,0.0,0.6135363107840172,0.14866679455208134,0.7403508771929824,0.2840909090909091,0.0,0.14457831325301204,11
0.6521739130434783,0.0,0.0,0.6519138354000739,0.16689046614233652,0.6456140350877193,0.25,0.0,0.12048192771084337,10
0.6956521739130435,0.0,0.0,0.6573579325872904,0.26760023019374646,0.6421052631578947,0.23863636363636365,0.0,0.10843373493975904,17
0.7391304347826086,0.0,0.0,0.6696239540276236,0.192211778246691,0.6385964912280702,0.22727272727272727,0.0,0.1927710843373494,20
0.782608695652174,0.0,0.0,0.6344389555398728,0.19566468444273935,0.6912280701754386,0.25,0.0,0.2289156626506024,11
0.8260869565217391,0.0,0.0,0.5993211681285076,0.11030117015154423,0.7403508771929824,0.2840909090909091,0.0,0.12048192771084337,18
0.8695652173913043,0.0,0.0,0.5648754914809959,0.029349702666410894,0.7403508771929824,0.3068181818181818,0.0,0.20481927710843373,10
0.9130434782608695,0.0,0.0,0.51927277615351,0.3142144638403991,0.3192982456140351,0.375,0.0,0.10843373493975904,25
0.9565217391304348,0.0,0.0,0.4502133951675235,0.3706119317091886,0.3087719298245614,0.48863636363636365,0.0,0.2891566265060241,20
1.0,0.16666666666666666,0.004739336492890996,0.40797123365930704,0.27182044887780554,0.5578947368421052,0.5454545454545454,0.0,0.2289156626506024,8
0.0,0.16666666666666666,0.004739336492890996,0.3478845313707699,0.4369844619221179,0.17894736842105263,0.6363636363636364,0.0,0.08433734939759036,6
0.043478260869565216,0.16666666666666666,0.004739336492890996,0.32436065463588404,0.306924995204297,0.3157894736842105,0.6590909090909091,0.0,0.060240963855421686,7
0.08695652173913043,0.16666666666666666,0.004739336492890996,0.28504217495043177,0.3147899482064071,0.30526315789473685,0.7159090909090909,0.0,0.07228915662650602,4
0.13043478260869565,0.16666666666666666,0.004739336492890996,0.25409147427496054,0.2652982927297142,0.624561403508772,0.75,0.0,0.03614457831325301,2
0.17391304347826086,0.16666666666666666,0.004739336492890996,0.2271734381826125,0.2652982927297142,0.6912280701754386,0.7954545454545454,0.0,0.012048192771084338,4
0.21739130434782608,0.16666666666666666,0.004739336492890996,0.21470578351312297,0.30462305774026477,0.22456140350877193,0.8181818181818182,0.0,0.03614457831325301,10
0.2608695652173913,0.16666666666666666,0.004739336492890996,0.20344792821857038,0.2699021676577787,0.3824561403508772,0.8181818181818182,0.0,0.10843373493975904,10
0.30434782608695654,0.16666666666666666,0.004739336492890996,0.19813825318412473,0.2512948398235182,0.09824561403508772,0.8295454545454546,0.0,0.10843373493975904,12
0.34782608695652173,0.16666666666666666,0.004739336492890996,0.19608831535437038,0.2194513715710724,0.1368421052631579,0.8295454545454546,0.0,0.13253012048192772,9
0.391304347826087,0.16666666666666666,0.004739336492890996,0.23977551500487282,0.054862842892768084,0.4666666666666667,0.75,0.0,0.0963855421686747,13
0.43478260869565216,0.16666666666666666,0.004739336492890996,0.2916288604361999,0.09764051409936696,0.7614035087719299,0.6818181818181818,0.0,0.14457831325301204,19
0.4782608695652174,0.16666666666666666,0.004739336492890996,0.3852202843028531,0.07711490504507962,0.4245614035087719,0.5681818181818182,0.0,0.21686746987951808,20
0.5217391304347826,0.16666666666666666,0.004739336492890996,0.4404005780152569,0.13811624784193363,0.6421052631578947,0.5113636363636364,0.0,0.2289156626506024,24
0.5652173913043478,0.16666666666666666,0.004739336492890996,0.5275397385489129,0.1630539037022828,0.6280701754385964,0.4318181818181818,0.0,0.27710843373493976,24
0.6086956521739131,0.16666666666666666,0.004739336492890996,0.5869207245354034,0.2587761365816229,0.5263157894736842,0.375,0.0,0.27710843373493976,13
