,WeekD,Time,WD,RH,PM2.5(t),PP,TMP,WS,YearD,PM2.5(t-1)
max,6,23,316,94,84,2.76,33.063,5.411,212,84.0
min,0,0,31,6,1,0.0,3.306,0.198,1,1.0
